CdSecteurH;CdEuMasseD;CNRM_ALAD;CNRM_Had3;EARTH_Had3;EARTH_RAC;EARTH_RCA4;Had2_ALAD;Had2_CCLM4;Had2_Had3;Had2_Reg6;IPSL_HIR5;IPSL_RCA4;MPI_CCLM4;MPI_Reg6;MPI_REMO;Nor_HIR5;Nor_REMO;Nor_WRF;Med_models
Q3;FRFG083B;-5.339284489316077;-4.371032329349445;10.20513208230951;11.552821436680238;-2.6291790570966755;6.600051013746611;-10.38490625463937;-1.9024891596113869;-6.485794991671112;-20.39493460188667;-8.196990904874868;3.107486710399354;24.65295826752194;12.252887497778664;-16.233235305952142;-15.066393550629176;11.121938313204115;-2.6291790570966755
Q3;FRFG091;-2.730721482516174;2.0485540324748586;15.347159938392483;20.13660994338622;1.7288437392424472;3.7476922109974664;-13.029540846229004;-6.674261884026711;-6.470868442209088;-13.067323895781048;-9.94017624351945;9.027732864157478;35.12008540509579;12.070314740609888;-15.945138527684875;-13.308145455333095;6.35618868251302;1.7288437392424472
Q3;FRFG110;-6.492844404799603;-2.514088446572127;5.323100246687051;7.328849609642285;-4.726425682906843;9.526293545524611;-7.746202140390379;2.7504216311403873;-6.076920719388279;-12.907337388996766;-7.545810658268637;-7.824480263093481;12.709780105527036;1.6816408202517286;-8.038266444708297;-7.439068066714006;11.499797098498243;-4.726425682906843
Q4;FRFG030;-7.863981411018184;-1.7778444090849057;3.978756879962963;7.217786943311832;-7.662544829720774;7.556920298257297;-14.700454091534445;-2.484423734894925;-12.924522358494094;-13.691367572480797;-12.889071874779956;-5.53214871880634;12.750360789064752;-2.2141259505168875;-12.35003435691182;-12.674385919524076;14.665495445706988;-5.53214871880634
Q4;FRFG044;-6.217502909215156;1.1368317073308765;6.682452920904169;12.413767773509598;-2.902186859483591;10.007645230347162;-15.290226786010908;-1.8492056931869283;-9.973835288717448;-13.597015363245005;-13.435468502047442;1.536122177786159;22.182317210320225;4.008712230052303;-17.04147756407345;-11.806728010003551;12.834562814325556;-1.8492056931869283
Q4;FRFG049B;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Q4;FRFG050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Q4;FRFG051A;-10.417340043426314;-3.580319399977827;3.13041098767608;-0.19998056985358617;-7.790442792587315;5.897050795132119;-11.302116826279708;1.3396444830981125;-8.806845136228869;-12.711949354067777;-18.601051265457546;-16.25118462932653;-2.037107085099698;-4.529650660657614;-11.085365913497924;-9.797121515369168;9.776481118821168;-7.790442792587315
Q4;FRFG051B;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Q5;FRFG028B;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
