"GWL","EXP","GCM","RCM","BC","HM","SH","deltaRecharge"
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","A4",10.9638926640733
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","A4",2.72930528722615
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","A4",14.0378798648613
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","A4",4.61119262325751
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","A4",1.96926429914546
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","A4",3.24488001290422
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","A4",0.198286329078012
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","A4",2.99708942563655
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","A4",-2.00140998358549
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","A4",-1.66636277189011
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","A4",9.25180081455654
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","A4",9.47190479056244
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","A4",19.9005150973695
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","A4",-8.2157889814334
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","A4",1.49485498209969
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","A4",-3.11938652382279
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","A5",22.6232530425243
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","A5",10.3852561638751
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","A5",6.06661572931109
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","A5",18.8650349889931
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","A5",2.56003852947024
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","A5",2.72706677686725
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","A5",9.22772600861879
"GWL-15","historical-rcp85","HadGEM2-ES","HadREM3-GA7","ADAMONT","RECHARGE","A5",2.37460944477712
"GWL-15","historical-rcp85","HadGEM2-ES","RegCM4-6","ADAMONT","RECHARGE","A5",-1.90535716299308
"GWL-15","historical-rcp85","IPSL-CM5A-MR","HIRHAM5","ADAMONT","RECHARGE","A5",-3.86946331375364
"GWL-15","historical-rcp85","IPSL-CM5A-MR","RCA4","ADAMONT","RECHARGE","A5",-1.50215575592595
"GWL-15","historical-rcp85","MPI-ESM-LR","CCLM4-8-17","ADAMONT","RECHARGE","A5",13.3197910693101
"GWL-15","historical-rcp85","MPI-ESM-LR","RegCM4-6","ADAMONT","RECHARGE","A5",5.37952928954715
"GWL-15","historical-rcp85","MPI-ESM-LR","REMO","ADAMONT","RECHARGE","A5",16.1168013095177
"GWL-15","historical-rcp85","NorESM1-M","HIRHAM5","ADAMONT","RECHARGE","A5",-4.59139511519332
"GWL-15","historical-rcp85","NorESM1-M","REMO","ADAMONT","RECHARGE","A5",0.646045621332947
"GWL-15","historical-rcp85","NorESM1-M","WRF381P","ADAMONT","RECHARGE","A5",-7.69145046069665
"GWL-15","historical-rcp85","CNRM-CM5","ALADIN63","ADAMONT","RECHARGE","A6",19.2736801197981
"GWL-15","historical-rcp85","CNRM-CM5","HadREM3-GA7","ADAMONT","RECHARGE","A6",11.4771490679289
"GWL-15","historical-rcp85","EC-EARTH","HadREM3-GA7","ADAMONT","RECHARGE","A6",4.24721941824548
"GWL-15","historical-rcp85","EC-EARTH","RACMO22E","ADAMONT","RECHARGE","A6",17.1996812594896
"GWL-15","historical-rcp85","EC-EARTH","RCA4","ADAMONT","RECHARGE","A6",3.62178208686792
"GWL-15","historical-rcp85","HadGEM2-ES","ALADIN63","ADAMONT","RECHARGE","A6",2.5464261233475
"GWL-15","historical-rcp85","HadGEM2-ES","CCLM4-8-17","ADAMONT","RECHARGE","A6",5.25448852172596
