CdSecteurH;CNRM_ALAD;CNRM_Had3;EARTH_Had3;EARTH_RAC;EARTH_RCA4;Had2_ALAD;Had2_CCLM4;Had2_Had3;Had2_Reg6;IPSL_HIR5;IPSL_RCA4;MPI_CCLM4;MPI_Reg6;MPI_REMO;Nor_HIR5;Nor_REMO;Nor_WRF;Med_models
M5;5.593567942584321;-3.447489826618466;-6.7252037652349;7.19339219097026;-1.9638459951848983;2.2271024687264163;-9.787807557132457;-8.742304853748317;2.5895312796949677;19.394423771277648;21.542758730016143;28.98494137188081;43.307071292227064;21.43271451511959;-6.348809543708334;-6.052581086615072;-8.511677441667764;2.2271024687264163
M6;5.9956352773433474;-3.873622230103202;-10.026621040294216;4.384975497784027;-8.751897811635157;1.788539258836197;-10.775570545569767;-10.020739206416009;-1.3429813479275965;9.746885423579757;22.92866716856921;23.70143702300995;35.920126612664504;16.57250038008542;-11.269774424932445;-14.69959479413825;-10.530477534246629;-1.3429813479275965
M7;9.229252668776676;-1.8894892288439211;-10.149017579964282;2.9079609655736416;-7.941775827442354;1.4865222958489133;-12.145066915664838;-8.28417568165164;2.260414905321584;4.348926597264846;16.302481398987002;24.624872004641695;37.89868493554367;9.324815479863702;-15.085334101856972;-14.107587767226914;-10.63081355172858;1.4865222958489133
M8;7.045946711807316;-4.679801364633773;-10.871696192595923;3.167642541161886;-8.681695243432031;2.440095200977588;-11.602491465255335;-9.10717848645245;-2.6710996881644355;7.933430136100927;20.791863933971545;22.01230723251708;36.8781923890902;15.284526354740535;-13.144802744089146;-17.20225751535579;-9.880554842922717;-2.6710996881644355
N0;8.489116556631494;-5.134024702930217;-7.963302462772526;1.88378949139012;-2.9962841802730567;3.46419124478421;-12.493321869940544;-5.207551539928468;-1.8314640817171268;4.360835731814361;11.258669203762173;17.885436585099022;44.208465525196;10.32602699968197;-19.63751910692547;-18.542069173505816;-8.694489832414876;-1.8314640817171268
N1;5.369268209162059;-1.4918043839613038;-9.529762256219865;1.1780312517796432;-2.721251700041727;1.6619008103176514;-11.981476778956011;-6.0289482758937645;-1.477563276522864;3.1375839589132815;13.09345489225684;18.236496734993324;44.83575035262432;8.232579665376738;-20.282845805909776;-18.226384515948556;-12.291726499123456;-1.477563276522864
N2;3.951199003022543;0.8967432895046423;-8.848113325443773;-0.5028512704516208;-3.063989710270454;-0.598375566009901;-11.585028693685706;-5.401329410130873;-4.684025726942009;0.6957130574068104;10.287631731401593;19.35315314305044;53.47409911441432;4.168901829463634;-24.530447174177528;-24.18117792969248;-13.090084039247884;-0.598375566009901
N3;8.25232903871811;-2.7597263716621523;-9.787829739555132;2.54421807978531;-4.109272735802405;-0.9074595105918792;-10.860864289582404;-10.727623651233364;-1.7165752308368254;2.242569714633147;10.880859004573365;21.971731969577025;36.31943251942402;4.896046881196936;-17.95070081297836;-19.548526456819225;-11.618764758763344;-1.7165752308368254
N4;9.224694852666191;-3.4005471348893535;-6.430501893586282;6.2863939124103485;-4.5668705417792665;0.7627873241396577;-9.025996383859558;-7.437494757619401;-1.4042746543817983;2.149414167626329;7.948358073097239;17.68753194844852;35.33202112134393;10.067266691748644;-11.16416074113492;-13.902977695811469;-11.733521079613674;-1.4042746543817983
N5;8.485514899815549;-1.0563490585594026;-9.065713517329154;3.305422631219135;-3.772146907911978;-0.4308598973689848;-10.851845401260263;-9.710463077966637;-2.666910479163087;0.9212864468212344;9.772253631671358;20.61253661743645;36.70350757713272;4.06296244469091;-17.96922797959075;-20.10451609985674;-10.654836294468206;-1.0563490585594026
N6;9.616715515970007;-2.3709042195424246;-4.570995596262984;6.282435312215728;-4.398811663379931;1.9980501749233823;-10.284970549216698;-5.574076382737692;-5.7113031637350264;-0.41553940624875496;8.022090382243551;15.565989762104149;41.201977567657224;11.396525652360513;-17.67615475436488;-19.106209556392216;-9.063469991786944;-2.3709042195424246
N7;8.368487340025354;-2.0965569092573855;-9.586875548615405;2.7606545365521873;-3.996771712900216;-0.7714174162032461;-10.889214042806085;-10.403337444364311;-2.0862739491769533;1.7158182253481868;10.509705249962042;21.520139916737733;36.466393695504685;4.510993391796991;-18.08943364581025;-19.851226930785227;-11.256472460058763;-2.0862739491769533
N8;9.319487301402706;-1.6854550426600778;-6.6337771918168364;5.48043075789626;-4.286465621589608;0.7887781191904919;-10.973800161869807;-6.927232075913259;-6.067829366391598;-0.06683300878788101;8.531250342323005;16.63575630235301;40.896124904514;8.715846371602542;-18.59940807683096;-20.210694318417676;-9.27725278570658;-1.6854550426600778
O0;-10.813557564317088;-5.957923139899391;-8.296085099209794;-18.02086306304768;-15.273640145369349;-1.7674586338394027;-20.73415747969165;-4.5468879750229725;-26.43361589867417;-14.789411481192626;-32.20565824119833;-28.71891986855468;-29.839175950228014;-22.25587303179649;-14.904293255334512;-11.26460646225711;-11.718242505023802;-14.904293255334512
O1;-11.228335407908974;-4.126842906034611;-8.223251631665896;-18.126630129690103;-11.961938599590171;-0.2117610073046894;-19.88671534468715;-0.604211725752557;-26.61175348868766;-15.954509101820491;-32.931004428753795;-28.218481046986167;-34.1226696648272;-21.66387196901497;-14.73997437698592;-14.39354971446214;-9.503151674766496;-14.73997437698592
O2;-11.046648983823824;-4.0919762320443915;-10.645013228831337;-5.050231127657634;7.213236800852796;-4.28412292359317;-17.9581634942126;-7.261400612193802;-34.71555052778973;-10.267858720408707;-15.504674363672777;-17.115564006701323;-17.28421116434501;-17.698008356584616;-31.479891994549504;-21.5892771507028;-20.58151520704714;-15.504674363672777
O3;1.9155460126235144;-8.32030506569923;-0.5579322339178461;0.8283147403522095;3.690350949196941;-8.759882588309608;-13.74110710263734;-7.50957382454005;-7.474555733247024;3.2165319176779006;-2.832737180660605;0.4227791916629142;-0.8776726063167151;-4.593251888693484;-19.858465541384852;-23.378101012070797;-26.659881552274733;-4.593251888693484
O4;-6.023397043056955;-6.493366769512587;-3.1908885202305504;-1.3718832732340536;-0.14508524243560528;-5.671322050029504;-13.80669809572691;-4.096530153317756;-12.79508939120858;-6.441328398298641;-13.954562310812202;-4.855745484412433;-5.1676976633523;-12.438029513971603;-24.88806532169826;-22.17984661274277;-22.734482383876088;-6.441328398298641
O5;-3.002698871092546;-2.1299969988204603;-0.264979310543878;1.183095854235949;4.8626953315112464;-1.984648788338994;-8.365629343865223;-4.836580116775191;-13.020612301525214;1.065749750677791;-6.204668265860603;0.14050629863708863;3.1013047048870757;-6.683154987029205;-29.315011245276036;-25.348798405037655;-22.117011630518036;-3.002698871092546
O6;-7.9195398689384415;-3.9015092352923;-8.604322324201208;-1.0686597247644425;8.904250186329254;-3.413876149208084;-17.257380737673145;-10.852382599024857;-32.19152475232474;-3.8190301059773057;-8.321958340391255;-12.499797489841358;-4.8543216748501035;-9.539643073839898;-30.174563987312265;-20.105943034148833;-22.352219966225697;-8.604322324201208
O7;3.1030392951544084;-8.353665159470614;-0.5525374671394911;-1.7187375360401935;0.42123310213288967;-0.5469756005391679;-10.611524666593663;-10.020391292801223;-9.26568454163772;1.9924077769405637;-5.708110318821147;3.783201592253471;3.9684748338000286;1.0977304784992148;-23.199061898314653;-18.950996206442305;-24.727356456642056;-1.7187375360401935
O8;-0.01775000578593255;-0.7958923034448118;1.7823477822088707;5.311205939470098;5.920093559895201;-0.6951059433569662;-6.679973888979351;-3.630354102091804;-14.454561812461383;2.5079394079196016;0.29713524241925526;2.123519186252798;7.9519672232220895;-1.113629122617965;-25.63526563694387;-22.34932377203609;-18.7090644228052;-0.6951059433569662
O9;1.1997699197587863;-6.892517736619452;1.3712706445762946;12.607258326613067;9.32856030995335;-2.8173079003734336;-14.694703418603105;-12.238004454931396;-17.414216287333172;6.459579543627325;0.597182143845898;4.2643133603220695;19.79394936644465;9.266222195519893;-27.630634612250947;-18.543893710930305;-15.627402845121908;0.597182143845898
P0;2.5335527659313017;-10.529252722388271;-3.9161251704344817;-3.5400089760563413;-3.301999606344286;-0.6268544454328562;-13.625903102104395;-8.030747009818251;-9.23233381725166;-4.948857757406411;-10.765932247294108;-2.4538198807999123;6.979887474423951;5.312738014843332;-24.261668656751223;-12.04273979588949;-20.110573507742824;-4.948857757406411
P1;1.1689642487515917;-5.542970984323803;-1.0723437192367014;-3.0114507884075215;0.3318297791082836;0.6912727340229852;-9.657695593623972;-4.359265565360904;-9.32474823680476;-4.982968729946336;-9.396449560806396;2.56039629589484;9.433144205402444;2.8135205209964376;-25.790974460551976;-15.0723994117296;-20.188589967476645;-4.359265565360904
P2;0.4536972179055132;-1.597647492768739;2.853046159897188;5.536895249574636;6.99219512213729;-0.7613417310928017;-6.5087933848907875;1.5144035388954702;-14.742273858451629;3.1663860056348136;1.3943900552191746;5.863604163502001;12.06559375249845;0.6573751976472808;-25.22843099247779;-19.51972767073543;-17.320346302343324;0.6573751976472808
P3;0.11453361625159976;-5.294927732772803;-1.5193295623393557;0.6390113170970491;0.5709502622748719;-1.3632302589322132;-6.371340724297026;-3.4587512183537172;-10.16059626761897;-5.112736254665162;-5.26051554289666;8.697891492455966;14.735644839508533;4.608419202475278;-23.14316125582042;-17.280313829174275;-18.235156350648474;-3.4587512183537172
P4;0.9046596804387796;-3.873669061963725;3.428910479037417;8.852451548020102;7.834565672474936;-2.5984174500881196;-5.6636542052746375;0.8237300869483821;-14.491508764268612;6.899591079439782;4.637995084584623;10.017085156453833;16.375506539488782;3.253747494804826;-25.84966758531187;-21.08874451413305;-16.11656048635085;0.9046596804387796
P5;1.865169275122902;-4.591538594394584;6.667312120473978;15.960379394565782;8.129551239168208;-3.2448326148932005;-13.118618775069448;-7.306199917438471;-14.40977151765338;4.899812508231283;4.009030338062214;10.399581734047803;26.776212975936687;10.437638873519273;-28.315507356144742;-20.781870003746604;-15.471444129547674;1.865169275122902
P6;1.9463179634386265;-4.652423666305328;3.366828594955918;10.80193544524073;2.445823991478524;-3.781745818984117;-5.427994774451594;-3.2511070422428956;-10.686544820003007;1.7719821488844545;2.3444076846433903;13.660927085228504;29.25949868131785;10.886407673298804;-23.2720283180091;-19.007690486439564;-18.32063150824298;1.7719821488844545
P7;2.096759044508945;-7.3935185978414975;7.714361595550878;14.574420539857847;3.654335620123916;-1.2015110629137071;-6.979497411485336;-1.907152202179374;-9.67831420423222;1.809017653025946;3.750109988670247;10.528628684265072;35.65974362006106;15.288541482060092;-23.127364470772537;-20.43904978869372;-16.910701754691758;1.809017653025946
P8;2.598634079558604;-5.80922349319729;8.856888051841839;18.550019183222076;8.255068586780068;-0.1139783379182302;-13.385760810594435;-6.665008707818975;-12.218239409190655;4.102823138334899;4.431742156713003;10.89063025568;32.679948545157856;14.480978730601702;-27.297662287577772;-19.779276569754213;-14.613670731406502;2.598634079558604
P9;2.801838171167881;-3.81329117469682;6.67281073575936;16.03900133072298;8.529285966955458;-1.8674797774406728;-15.0504153910187;-7.2570824174167825;-13.37090784368452;3.866747550938565;2.7063092909095365;10.119383420241368;28.574357624837287;12.697310695271558;-28.952481576149047;-20.129473682728506;-14.367625558833064;2.7063092909095365
Q0;-10.380360663009212;-10.717131824372949;-6.2866823123150395;-13.03184977337548;-9.171139354696743;-5.306777185323297;-19.10242722183508;-9.826603770195064;-24.44327524621518;-12.680047914589032;-21.62825002129202;-18.19191135453907;-17.673571398450417;-18.062395666054833;-20.485651389723415;-15.55666044330587;-15.626641735744396;-15.55666044330587
Q1;-10.49826146226912;-10.822740742058512;-5.306465864982968;-6.7651864548722855;-0.5412884869896106;-6.589378564034243;-18.237992570313654;-14.939479087018691;-25.42322842737855;-10.923902216933923;-11.95134517655022;-6.208802830838012;-4.168783017093325;-10.59962748383202;-26.825321846464668;-19.46724252058334;-18.09682780235351;-10.822740742058512
Q2;-8.160152751124928;-5.96963832040498;-1.4767740062037071;2.3430318638043346;6.1901850254528545;-5.8072019205212655;-12.738305236851522;-15.38341856199905;-19.390112432941898;-4.195052812654055;-1.7627330264380348;-1.5488774292527263;9.623595969783526;0.473723545448812;-24.76460174043019;-16.64533748521816;-18.63004024192103;-5.8072019205212655
