ZH,Variable,Saison,NivRechauf,GCM,RCM,delta,surface
F6,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.316633480456783,7320.53
W1,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.145812764524126,3063.94
F5,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.372738637744,5514.57
W0,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.129359893389412,2711.46
W3,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.274526884389715,2497.41
W2,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.186336615546491,3619.5
F7,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.261158412802959,1105.04
N6,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.269696741264275,770.63
N5,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.285438138436447,403.72
N8,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.294461054484232,1300.74
N7,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.29665290438332,590.11
F0,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.358469932371279,3971.64
F2,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.279352186263072,1712.15
F1,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.34531665469413,4595.06
F4,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.283497079537015,9621.44
F3,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.339246811612823,10835.87
N0,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.328995618916362,1074.69
N2,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.308131912315738,619.39
N1,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.297997720874268,752.6
N4,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.267621494819891,1215.52
N3,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.309047760921553,1973.03
V6,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.266401176989132,2136.99
V5,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.33560238664968,5731.3
V7,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.261496421278669,3702.39
E5,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.337442291186167,3208.7
V0,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.264323829869383,3444.74
E4,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.261613610000508,2242
V2,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.353564554838709,3759.62
E6,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.365091396550116,6568.99
V1,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.329758218658154,5949.32
V4,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.300352202212256,4936.32
V3,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.295137513901797,5190.89
M5,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.341053364070498,1855.87
M4,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.341207053088021,233.31
M7,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.32617355847044,2355.95
M6,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.363361061140973,2539.61
M8,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.350175842184154,2581.19
E1,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.376506431056555,2658.4
E3,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.333026566820249,2825.43
Q1,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.11583482036468,1585.53
E2,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.346867045695915,1209.69
Q0,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.0426368169333654,2461.06
Q3,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.141367356994701,2194.24
Q2,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.109503682879759,3146.1
Q5,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.0739095048823208,1425.1
Q4,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,-0.0444324722223074,1368.2
Q7,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.021978765729018,1534.31
Y9,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.0414082250776278,2891.97
Q6,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,-0.0143322676379291,1089.34
Y8,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.0821907106439962,2698.61
Y1,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,-0.0427807703505345,5326.53
Y0,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.01921203369347,5199.28
Y3,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.20432043215211,3125.25
Y2,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.113790219943954,4403.45
H7,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.315007348555131,628.02
Y5,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.209709136379405,4495.86
Y4,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.22249937583048,4636.41
Y7,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.0709382320312167,3133.22
Y6,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.243922001701089,3977.39
P8,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.29319898018808,1037.04
P7,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.292482225935791,2798.82
H0,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.358966931265773,4977.37
P9,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.323867116136436,594.17
H2,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.344197107270149,4017.04
H1,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.344790832753592,7940.09
H4,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.303728459162156,6017.36
H3,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.298661885599447,4070.19
H6,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.271636999139648,2312.37
P0,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.15490174517747,3288.88
H5,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.297863479776778,2035.43
P2,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.152665342217794,3067.22
P1,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.178139794184916,3300.37
P4,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.218423755709616,1281.93
P3,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.235066549337058,2448.69
P6,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.268998097452021,3746.82
P5,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.27443172499782,2393.78
X0,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.277122816524711,4831.02
X2,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.281466905543504,2297.71
G7,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.342108489732841,479.97
X1,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.301780739199048,4602.76
G6,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.330921289245922,456.42
X3,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.283281319772583,2639.98
O7,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.152083305275403,5705.78
O6,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.0578358434933992,7251.55
O9,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.210042522993319,6511.54
O8,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.106669102159498,5820.81
G1,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.298665734328403,345.94
G0,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.316478439008398,765.17
G3,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.316311754628224,228.18
G2,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.310731214924952,1034.43
G5,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.318776167920172,246.4
S3,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.157091370063982,1529.96
G4,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.315773014196004,300.06
S2,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.167424124755766,2028.55
S5,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.0449478978358771,369.87
S4,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.124546518187195,1556.7
S6,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.0160889924091913,276.97
S9,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,-0.0357275131894318,73.83
K1,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.331702572291718,11061.51
K0,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.141602695307736,7272.23
S1,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.252246792672282,2790.41
S0,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.260149289289459,1910.73
J9,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.395888039003198,1525.76
B2,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.376687293630761,1438.55
B1,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.391410486456793,1321.05
B4,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.380131882970452,1652.17
B3,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.379428213307364,945.43
B6,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.40203355457812,89.89
B5,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.379527928172376,1446.48
J2,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.235149811811568,1956.41
B7,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.390233916258639,470.24
J1,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.264223493948824,2963.99
J4,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.298033827694194,2858.66
J3,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.263427112898204,4248.04
J6,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.392917198793803,1618.75
J5,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.334613900098503,2612.19
J8,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.409775620195731,3604.79
R2,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.315317747901448,1191.39
J7,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.399144627176899,5706.93
B0,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.386519433001226,446.6
R1,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.28092604926878,1460.15
R4,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.290324784913615,880.76
R3,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.296499636512872,1496.84
R6,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.276863282122314,1327.03
R5,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.262951187252945,1377.87
R8,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.264368208132037,54.96
J0,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.321429772766878,2770.78
R7,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.268244190788905,771.57
A9,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.386417238425285,3836.21
A8,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.355255857110918,2078.69
R0,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.317323385133596,1347.63
I9,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.276551021213016,1107.13
Z4,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.257574707269669,19.33
A1,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.369325382504919,1807.57
I8,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.2792455325572,476.91
A0,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.437003326210947,894.59
Z6,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.262610007596735,177.96
A3,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.435399459820341,2548.93
Z5,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.335196367229817,261.57
Z8,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.154218669429957,29.09
A2,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.361993427478214,2952.76
A5,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.397041419629959,1929.62
A4,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.358614893451999,1783.78
Q9,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.00375168645733568,1028.41
A7,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.378553839573142,2670.23
A6,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.401345908224119,3091.91
Q8,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.0668898525321424,1082.74
I1,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.249466911191433,1809.45
I0,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.243316042255377,1308.03
I3,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.249385103997448,543.24
I2,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.282109872606104,2970.59
I5,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.273081391273799,1468.12
I4,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.271720273045675,2069.33
I7,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.28295031330562,1113.63
I6,RR,seas-DJF,GWL-30,MPI-ESM-LR,CCLM4-8-17,0.269614975058319,1261.29
M1,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.3056639356123,8294.27
M0,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.328536924572767,7963.25
M3,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.318496760747015,5837.92
M2,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.28656173819753,20.6
U4,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.411601998414735,4014.05
U1,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.41552762566051,5793
U0,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.443456371778939,6186.06
U3,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.398477017392949,5720.16
U2,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.277757066161079,7728.47
L4,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.217429335869494,3884.86
L3,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.34802178207743,818.31
L6,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.342196977182983,1772
L5,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.292593967425446,3912.9
L8,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.385368035760504,3666.97
L7,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.341718153310968,1311.67
D0,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.422033623036847,1133.29
L9,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.326968189325444,1483.68
L0,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.210986419602789,4402.03
L2,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.310552644774623,3217.75
L1,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.329698720472733,1840.6
K3,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.218243759557113,5604.72
K2,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.209922790048021,8744.54
K5,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.206789404454183,6822.06
K4,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.294432282361241,10007.58
K7,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.288406018342277,3446.26
K6,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.304039623775793,7121.46
O1,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,-0.233300309760165,4131.8
O0,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,-0.192134207921791,5818.12
O3,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.0396663631345062,5301.03
O2,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,-0.098465555316482,5193.2
O5,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.0237701226572533,5960.67
O4,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,-0.0645854574620266,4490.53
F6,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.329841545940683,7320.53
W1,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.0179298945388598,3063.94
F5,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.367483550447829,5514.57
W0,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,-0.00246704049669028,2711.46
W3,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.264018662269582,2497.41
W2,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.0988826465360763,3619.5
F7,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.259510903436895,1105.04
N6,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.415549242046741,770.63
N5,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.341191785423541,403.72
N8,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.455818041571547,1300.74
N7,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.363098656206715,590.11
F0,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.320813654875946,3971.64
F2,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.320379241927747,1712.15
F1,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.357233616879456,4595.06
F4,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.277336002509129,9621.44
F3,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.286462944909161,10835.87
N0,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.434888003548467,1074.69
N2,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.470923531493276,619.39
N1,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.425864464612887,752.6
N4,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.318673698794186,1215.52
N3,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.420810462913084,1973.03
V6,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.502001672447914,2136.99
V5,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.471926137080452,5731.3
V7,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.399325401552483,3702.39
E5,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.396279770513132,3208.7
V0,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.1734341396694,3444.74
E4,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.417748445084569,2242
V2,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.2397738594259,3759.62
E6,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.350642747247899,6568.99
V1,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.294698600750287,5949.32
V4,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.455835460650506,4936.32
V3,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.403531038244593,5190.89
M5,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.382483634761477,1855.87
M4,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.301720461290217,233.31
M7,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.392891725086082,2355.95
M6,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.386687584581057,2539.61
M8,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.412619646350088,2581.19
E1,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.432064397485518,2658.4
E3,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.377651383961461,2825.43
Q1,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.00879579512331823,1585.53
E2,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.384557735193786,1209.69
Q0,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,-0.096002892721361,2461.06
Q3,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.0590908118934116,2194.24
Q2,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.0627864235482694,3146.1
Q5,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,-0.0530015983623089,1425.1
Q4,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,-0.187682869281211,1368.2
Q7,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,-0.0581566537248849,1534.31
Y9,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.138155518370752,2891.97
Q6,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,-0.160791026600651,1089.34
Y8,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.159821947150297,2698.61
Y1,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,-0.103748834763435,5326.53
Y0,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.0781125258005143,5199.28
Y3,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.298665771769438,3125.25
Y2,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.157580219994224,4403.45
H7,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.310885924119323,628.02
Y5,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.335705328267189,4495.86
Y4,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.471489546808337,4636.41
Y7,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.161264035656109,3133.22
Y6,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.231826837660994,3977.39
P8,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.212306056985227,1037.04
P7,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.287959093528457,2798.82
H0,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.390078995759369,4977.37
P9,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.188736458215376,594.17
H2,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.302252539898422,4017.04
H1,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.385536303968626,7940.09
H4,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.275879973199604,6017.36
H3,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.272456111065966,4070.19
H6,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.217744603732083,2312.37
P0,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.119281933082677,3288.88
H5,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.211166022150609,2035.43
P2,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.160736601688726,3067.22
P1,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.155017424695155,3300.37
P4,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.222465766786626,1281.93
P3,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.192235442310675,2448.69
P6,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.229929929371661,3746.82
P5,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.196980947852513,2393.78
X0,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.25745829102801,4831.02
X2,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.336175390473132,2297.71
G7,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.378362614135934,479.97
X1,RR,seas-DJF,GWL-30,MPI-ESM-LR,RegCM4-6,0.386936428636356,4602.76
