ZH,Variable,Saison,NivRechauf,GCM,RCM,delta,surface
P3,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.57668100510099,2448.69
P6,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.47341445605593,3746.82
P5,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.3509126363397,2393.78
X0,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.84518039535987,4831.02
X2,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.53744819257606,2297.71
G7,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.02684809434513,479.97
X1,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.48179636536047,4602.76
G6,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.02016654631475,456.42
X3,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.32732216235802,2639.98
O7,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.66024043511746,5705.78
O6,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.32289460579623,7251.55
O9,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.3002585908104,6511.54
O8,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.52341359543361,5820.81
G1,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.02646375878772,345.94
G0,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.15394068418809,765.17
G3,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.03153457316084,228.18
G2,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.05160095698052,1034.43
G5,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,1.93046721642254,246.4
S3,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.09504995982146,1529.96
G4,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.01402230127789,300.06
S2,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.25821888437746,2028.55
S5,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,1.84831992734217,369.87
S4,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.05392317017285,1556.7
S6,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,1.925109365512,276.97
S9,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.47906683992297,73.83
K1,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.58600442360897,11061.51
K0,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.71074239818072,7272.23
S1,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.14106251689622,2790.41
S0,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.1892817921842,1910.73
J9,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.28894887955563,1525.76
B2,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.58847113608093,1438.55
B1,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.56752359121971,1321.05
B4,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.57709689684379,1652.17
B3,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.55504331735359,945.43
B6,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.53704084671569,89.89
B5,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.53051841067497,1446.48
J2,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.08595970262168,1956.41
B7,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.52373818048309,470.24
J1,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.15366528390714,2963.99
J4,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.20310667020973,2858.66
J3,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.1183192801043,4248.04
J6,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.28123355794483,1618.75
J5,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.28155326307334,2612.19
J8,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.26318729869513,3604.79
R2,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.43353136090689,1191.39
J7,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.31339189939419,5706.93
B0,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.52863654865062,446.6
R1,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.45757220864453,1460.15
R4,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.34394738846093,880.76
R3,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.3353389154091,1496.84
R6,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.30492604095459,1327.03
R5,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.26293792709349,1377.87
R8,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.0837704584767,54.96
J0,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.17828652879385,2770.78
R7,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.24031853697312,771.57
A9,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.51978043497638,3836.21
A8,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.57376904820864,2078.69
R0,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.46162506420075,1347.63
I9,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.21576464474165,1107.13
Z4,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,1.89852905273438,19.33
A1,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.49901724961523,1807.57
I8,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.19934126137531,476.91
A0,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.48349172926341,894.59
Z6,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.06198395887614,177.96
A3,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.46656124920504,2548.93
Z5,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.06644625899542,261.57
Z8,TMm,seas-JJA,GWL-20,EC-EARTH,RACMO22E,2.08011829297813,29.09
