GCM-RCM;ZH;delta%;ref;fut;surface
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;Y0;2.5;209.326;214.499;5199
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;Y3;10.2;187.48;206.589;3125
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;Y2;0.9;283.053;285.52;4403
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;H7;29.9;220.312;286.287;628
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;Y5;4.7;205.904;215.536;4493
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;Y4;5;160.262;168.29;4635
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;Y7;-7.3;249.519;231.356;3118
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;Y6;-1.9;215.307;211.227;3977
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;P8;15.4;233.854;269.796;1037
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;P7;16.5;248.062;288.869;2799
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;H0;32.1;211.532;279.504;4977
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;P9;17.6;214.762;252.492;594
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;H2;31.1;187.465;245.743;4017
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;H1;30.7;218.405;285.493;7940
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;H4;18.3;171.914;203.39;6017
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;H3;25.1;201.922;252.697;4070
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;H6;19.4;211.364;252.471;2312
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;P0;19.8;308.964;370.227;3289
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;H5;26.8;249.414;316.344;2035
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;P2;13.4;244.284;276.964;3067
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;P1;16.4;354.422;412.617;3300
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;P4;15.9;241.091;279.376;1282
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;P3;19.3;328.774;392.118;2449
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;P6;17.2;259.389;303.921;3747
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;P5;15.2;214.8;247.438;2394
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;X0;2;207.421;211.468;4831
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;X2;2.6;182.652;187.482;2298
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;G7;30.5;252.735;329.828;480
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;X1;11;190.359;211.221;4603
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;G6;29.5;259.711;336.265;453
prtotAdjust_FR_rcp85_CNRM-CM5-LR_ALADIN63_ADAMONT_seassum_1951-2100_DJF.nc;X3;13.8;154.609;175.941;2640
